record ID,latitude,longitude,date,case_numbe,cluster label,subzone ID
489,1.3841242,103.8621191,200228,12,1,246
490,1.384018,103.860728,200228,20,1,246
491,1.385143,103.859882,200228,10,1,246
492,1.382815,103.860107,200228,9,1,246
493,1.382438,103.860834,200228,7,1,246
494,1.383894,103.862584,200228,7,1,246
495,1.382431,103.8633118,200228,4,1,246
496,1.3868,103.859061,200228,3,1,246
497,1.387087,103.859732,200228,10,1,246
498,1.385285,103.863837,200228,22,1,246
499,1.3838344,103.8590252,200228,3,1,246
500,1.387312,103.860112,200228,6,1,246
501,1.386462,103.859778,200228,18,1,246
502,1.382541,103.865122,200228,1,1,246
503,1.389178,103.860488,200228,3,1,246
504,1.339162,103.686556,200228,3,2,160
505,1.340226,103.685904,200228,2,2,160
506,1.3405185,103.6851645,200228,2,2,160
507,1.3411229,103.6859395,200228,2,2,160
508,1.340565,103.686404,200228,1,2,160
509,1.341223,103.68641,200228,5,2,160
510,1.3418326,103.6859788,200228,3,2,160
511,1.341944,103.686854,200228,2,2,160
512,1.341971,103.687594,200228,1,2,160
513,1.341456,103.687924,200228,3,2,160
514,1.341112,103.687735,200228,2,2,160
515,1.34074,103.68799,200228,8,2,160
516,1.340431,103.687575,200228,17,2,160
517,1.340656,103.687116,200228,5,2,160
518,1.3399464,103.687256,200228,16,2,160
519,1.3422499,103.6898694,200228,1,2,160
520,1.3399044,103.6883979,200228,11,2,160
521,1.339266,103.689373,200228,3,2,160
522,1.3396917,103.6898579,200228,1,2,160
523,1.340397,103.689844,200228,1,2,160
524,1.3402018,103.6893265,200228,6,2,160
525,1.340544,103.689157,200228,2,2,160
526,1.3409718,103.6891908,200228,5,2,160
527,1.341337,103.689311,200228,8,2,160
528,1.341658,103.689693,200228,2,2,160
529,1.34178,103.688429,200228,2,2,160
530,1.3373258,103.6906741,200228,1,2,160
531,1.3763142,103.7645327,200228,3,3,226
532,1.376508,103.764882,200228,2,3,226
533,1.379985,103.763285,200228,1,3,226
534,1.379346,103.762143,200228,1,3,226
535,1.378669,103.76414,200228,1,3,226
536,1.377381,103.763305,200228,87,3,226
537,1.375224,103.762873,200228,11,3,226
538,1.368981,103.8543392,200228,1,4,204
539,1.36152,103.855074,200228,1,4,204
540,1.361409,103.854547,200228,1,4,204
541,1.362096,103.8536869,200228,2,4,204
542,1.361909,103.855275,200228,1,4,204
543,1.363437,103.8551279,200228,3,4,204
544,1.3638955,103.8552628,200228,6,4,204
545,1.36407,103.853637,200228,1,4,204
546,1.3645799,103.854932,200228,1,4,204
547,1.364935,103.853958,200228,1,4,204
548,1.365016,103.853055,200228,1,4,204
549,1.36539,103.852877,200228,2,4,204
550,1.366448,103.853425,200228,2,4,204
551,1.3661319,103.8540529,200228,2,4,204
552,1.365691,103.855157,200228,1,4,204
553,1.366129,103.855221,200228,1,4,204
554,1.366643,103.855438,200228,8,4,204
555,1.367823,103.855993,200228,1,4,204
556,1.368902,103.85612,200228,1,4,204
557,1.364574,103.856711,200228,1,4,204
558,1.364171,103.8565785,200228,2,4,204
559,1.363466,103.857038,200228,9,4,204
560,1.3631851,103.858097,200228,4,4,204
561,1.3630739,103.857041,200228,8,4,204
562,1.362884,103.8575989,200228,2,4,204
563,1.362678,103.8563269,200228,34,4,204
564,1.3623793,103.8576022,200228,5,4,204
565,1.359672,103.856341,200228,1,4,204
566,1.3601805,103.8610041,200228,1,5,206
567,1.3622839,103.8627547,200228,12,5,206
568,1.3619272,103.8623522,200228,19,5,206
569,1.3614257,103.8620315,200228,11,5,206
570,1.356775,103.858558,200228,1,5,206
571,1.3609682,103.8617485,200228,1,5,206
572,1.3605922,103.8613731,200228,3,5,206
573,1.358366,103.862544,200228,2,5,206
574,1.3606413,103.8641076,200228,4,5,206
575,1.360459,103.8668409,200228,2,5,206
576,1.3602957,103.8654887,200228,5,5,206
577,1.36277,103.8631778,200228,3,5,206
578,1.3620471,103.8652015,200228,1,5,206
579,1.371595,103.834254,200228,3,6,214
580,1.3725353,103.831873,200228,9,6,225
581,1.3731142,103.8307357,200228,1,6,225
582,1.3716809,103.8301916,200228,1,6,225
583,1.372464,103.831078,200228,2,6,225
584,1.3738826,103.8315829,200228,2,6,225
585,1.3732959,103.8327755,200228,21,6,225
586,1.387868,103.907752,200228,2,7,292
587,1.388622,103.90671,200228,1,7,292
588,1.384302,103.902851,200228,1,7,292
589,1.38627,103.90408,200228,2,7,292
590,1.385129,103.904015,200228,1,7,292
591,1.386879,103.904676,200228,2,7,292
592,1.386973,103.904683,200228,1,7,292
593,1.387127,103.905728,200228,4,7,292
594,1.387924,103.904814,200228,1,7,292
595,1.388946,103.904311,200228,1,7,292
596,1.386355,103.905472,200228,4,7,292
597,1.386595,103.906066,200228,8,7,292
598,1.386988,103.906539,200228,7,7,292
599,1.387616,103.906267,200228,1,7,292
600,1.3073888,103.905797,200228,2,8,93
601,1.3098857,103.9069273,200228,6,8,93
602,1.3095208,103.9061058,200228,1,8,93
603,1.309504,103.905048,200228,4,8,93
604,1.309134,103.905015,200228,1,8,93
605,1.309934,103.9020481,200228,1,8,135
606,1.3088059,103.9069976,200228,9,8,93
607,1.308765,103.906107,200228,1,8,93
608,1.3083689,103.9077763,200228,1,8,93
609,1.312665,103.90693,200228,1,8,93
610,1.3105306,103.902828,200228,4,8,135
611,1.308661,103.905265,200228,3,8,93
612,1.37053,103.753349,200228,8,9,219
613,1.371101,103.752434,200228,11,9,219
614,1.37049,103.752307,200228,3,9,219
615,1.371666,103.752682,200228,7,9,219
616,1.37064,103.853431,200228,2,10,212
617,1.3706862,103.8524706,200228,4,10,212
618,1.370249,103.852478,200228,1,10,212
619,1.373138,103.851947,200228,2,10,212
620,1.371312,103.853596,200228,1,10,212
621,1.371181,103.852859,200228,7,10,212
622,1.371099,103.85219,200228,7,10,212
623,1.3720001,103.8529979,200228,1,10,212
624,1.3718689,103.8535776,200228,1,10,212
625,1.372548,103.850941,200228,1,10,212
626,1.3718971,103.850947,200228,1,10,212
627,1.305343,103.838415,200228,1,11,68
628,1.304915,103.837296,200228,1,11,68
629,1.3065778,103.8373806,200228,1,11,68
630,1.303984,103.839566,200228,13,11,68
631,1.303097,103.838708,200228,1,11,68
632,1.303713,103.838432,200228,3,11,68
633,1.305692,103.83688,200228,1,11,68
634,1.304114,103.838723,200228,5,11,68
635,1.379088,103.768065,200228,1,12,226
636,1.378572,103.766128,200228,4,12,226
637,1.3794404,103.7667267,200228,8,12,226
638,1.379847,103.766734,200228,3,12,226
639,1.3802841,103.7663537,200228,1,12,226
640,1.379926,103.765968,200228,3,12,226
641,1.3792943,103.7659488,200228,3,12,226
